Date,UAL_Open,UAL_High,UAL_Low,UAL_Close,UAL_AdjClose,UAL_Volume,SAVE_Open,SAVE_High,SAVE_Low,SAVE_Close,SAVE_AdjClose,SAVE_Volume,AAL_Open,AAL_High,AAL_Low,AAL_Close,AAL_AdjClose,AAL_Volume,DAL_Open,DAL_High,DAL_Low,DAL_Close,DAL_AdjClose,DAL_Volume,LUV_Open,LUV_High,LUV_Low,LUV_Close,LUV_AdjClose,LUV_Volume,JBLU_Open,JBLU_High,JBLU_Low,JBLU_Close,JBLU_AdjClose,JBLU_Volume,UALSocialMedia,SAVESoicalMedia,AALSocialMedia,DALSocialMedia,LUVSocialMedia,JBLUSocialMedia
2/22/16,54.130001,57.169998,53.959999,56.580002,56.580002,25731100,47.250000,48.980000,45.639999,48.070000,48.070000,6366100,40.139999,41.599998,39.389999,40.869999,39.163799,36936800,46.720001,49.450001,46.720001,47.860001,43.637177,51204700,39.560001,42.860001,39.560001,42.169998,40.314816,39645900,21.549999,23.670000,21.549999,22.299999,22.299999,33077300,14,6,20,16,26,9
2/29/16,56.380001,58.950001,56.009998,58.000000,58.000000,26627700,47.820000,51.630001,47.320000,49.740002,49.740002,5126100,40.770000,42.240002,40.500000,41.630001,39.892078,39877700,47.750000,49.250000,47.400002,48.669998,44.375706,42339000,41.930000,42.790001,41.189999,41.500000,39.674297,33264200,22.139999,22.670000,21.660000,21.980000,21.980000,24933200,14,6,21,16,25,9
3/7/16,57.549999,58.410000,55.290001,58.369999,58.369999,24152800,49.279999,49.910000,45.759998,47.709999,47.709999,6274500,41.310001,42.500000,40.049999,42.470001,40.697014,35440000,48.240002,48.480000,46.009998,47.689999,43.482182,45386300,41.130001,43.459999,39.990002,43.330002,41.497986,34050700,21.950001,21.990000,19.490000,20.160000,20.160000,48171100,14,7,21,16,25,9
3/14/16,58.000000,60.669998,57.419998,60.410000,60.410000,22998500,47.639999,49.560001,46.220001,49.320000,49.320000,4808300,42.310001,43.529999,41.590000,43.439999,41.626507,33512900,47.500000,50.299999,47.320000,50.049999,45.633949,35990600,43.169998,44.580002,43.099998,44.500000,42.618515,32643900,19.980000,20.480000,19.809999,20.309999,20.309999,29506000,14,6,21,16,25,9
3/21/16,60.380001,61.410000,57.200001,57.840000,57.840000,18739900,50.020000,50.150002,46.240002,47.279999,47.279999,4610900,43.320000,43.779999,40.189999,40.500000,38.809242,33576500,50.040001,50.500000,47.360001,47.840000,43.618942,38559300,44.500000,45.389999,43.270000,44.060001,42.197113,22838000,20.270000,20.910000,19.650000,20.240000,20.240000,26659600,15,6,22,16,26,9
3/28/16,57.950001,61.389999,56.189999,56.720001,56.720001,23991100,47.049999,48.750000,46.700001,47.000000,47.000000,4183300,41.000000,42.070000,39.270000,39.520000,37.870159,38655700,47.900002,50.080002,46.740002,47.009998,42.862171,39451700,44.080002,45.369999,43.560001,44.560001,42.675983,26604300,20.170000,21.540001,20.160000,21.330000,21.330000,29897000,14,6,21,16,25,9
4/4/16,56.590000,57.599998,52.930000,53.080002,53.080002,20877100,47.250000,49.330002,45.500000,46.720001,46.720001,4434600,39.810001,40.240002,37.910000,38.500000,36.892742,35423700,47.110001,48.320000,45.410000,46.290001,42.205696,36192000,44.759998,45.110001,43.090000,44.500000,42.618515,24987400,21.129999,21.230000,19.129999,19.370001,19.370001,34018400,14,6,20,15,23,9
4/11/16,53.380001,57.840000,53.279999,56.900002,56.900002,18409800,46.389999,50.169998,45.000000,50.110001,50.110001,5449900,38.790001,41.660000,38.669998,40.910000,39.202126,43967400,46.869999,49.799999,46.500000,47.500000,43.308937,55746200,44.750000,47.180000,44.230000,47.040001,45.051128,31833900,19.469999,20.959999,18.879999,20.830000,20.830000,35808800,13,6,21,16,24,8
4/18/16,57.779999,58.900002,50.200001,50.740002,50.740002,46702900,50.099998,53.529999,49.259998,49.700001,49.700001,7833200,41.180000,41.759998,37.009998,38.209999,36.614849,48636200,47.650002,47.650002,43.160000,44.619999,40.683060,58409800,47.450001,48.000000,46.160000,47.250000,45.252247,35478500,20.930000,21.389999,19.850000,20.440001,20.440001,27109000,14,6,20,15,22,8
4/25/16,51.060001,51.450001,45.580002,45.810001,45.810001,35528700,49.740002,52.200001,43.009998,43.930000,43.930000,8354300,38.160000,38.400002,34.099998,34.689999,33.241791,67311800,44.520000,44.880001,41.220001,41.669998,37.993340,56305800,47.299999,47.650002,43.459999,44.610001,42.723858,38403200,20.330000,20.990000,18.930000,19.790001,19.790001,42315000,13,6,20,15,22,8
5/2/16,46.610001,47.540001,44.009998,45.700001,45.700001,35822300,45.480000,45.680000,40.480000,41.080002,41.080002,6301700,34.990002,35.169998,32.189999,33.029999,31.651098,57271600,42.110001,43.200001,40.950001,42.040001,38.330696,60994900,44.630001,45.000000,40.740002,41.730000,39.965622,31832400,19.850000,20.000000,18.680000,19.000000,19.000000,24604200,14,6,22,16,24,9
5/9/16,45.880001,47.400002,43.330002,43.840000,43.840000,28162100,41.310001,42.790001,38.849998,40.029999,40.029999,5110000,33.029999,34.040001,31.080000,31.510000,30.281847,49946200,42.110001,43.310001,40.639999,41.599998,37.929512,53061700,41.790001,43.610001,40.849998,41.560001,39.802818,29041300,19.000000,19.639999,18.059999,18.280001,18.280001,34798200,15,6,22,16,26,9
